mp;mpomsch;x;y;gebied;gebiednaam;meetpunttypering;opmerking;krw_type_dawaco;adres;adres_afst;adres_pc;adres_straat;bbg_2015;bodem_code;bodem_grof;bodem_omsch;c12;c50;gemeente;internet;krw_type;landgebruik;lat;leg_breedte;leg_cat;leg_diepte;leg_talud_l;leg_talud_r;lgn2018;lgn2018_agg;lgn2018_perc;lgn2020;lgn2020_agg;lgn2020_perc;lgn2023;lgn2023_agg;lgn2023_perc;long;mp_type;mp_vervallen;ovw_code;ovw_naam;ovw_type;plaatsnaam;problemen;wl_code;wl_naam;wl_type;na
EGB_21_EL_01;Sloten waterrijk EGB 2021 elektro-traject 01;102819;440633;SCHIEL;Schieland;9;;-;Groenendijk 129 Nieuwerkerk aan den IJssel;26,0000;2911BB;Groenendijk;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95168716;6,38;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;76;agrarisch gras;agrarisch gras;59;4,62815263;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_02;Sloten waterrijk EGB 2021 elektro-traject 02;102925;440793;SCHIEL;Schieland;9;;-;Groenendijk 129 Nieuwerkerk aan den IJssel;26,0000;2911BB;Groenendijk;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95313512;6,00;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;71;agrarisch gras;agrarisch gras;58;4,62967017;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_03;Sloten waterrijk EGB 2021 elektro-traject 03;103095;441041;SCHIEL;Schieland;9;;-;Klein Hitland 266 Nieuwerkerk aan den IJssel;26,0000;2911BR;Klein Hitland;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95537994;5,68;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;67;agrarisch gras;agrarisch gras;54;4,63210546;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_04;Sloten waterrijk EGB 2021 elektro-traject 04;103155;441141;SCHIEL;Schieland;9;;-;Klein Hitland 266 Nieuwerkerk aan den IJssel;26,0000;2911BR;Klein Hitland;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95628430;5,27;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;66;agrarisch gras;agrarisch gras;54;4,63296315;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_05;Sloten waterrijk EGB 2021 elektro-traject 05;103224;441251;SCHIEL;Schieland;9;;-;Klein Hitland 266 Nieuwerkerk aan den IJssel;26,0000;2911BR;Klein Hitland;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95727936;12,79;primair;1,00;3,0;3,0;;;;agrarisch gras;agrarisch gras;41;agrarisch gras;agrarisch gras;27;4,63395029;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_06;Sloten waterrijk EGB 2021 elektro-traject 06;103089;440964;SCHIEL;Schieland;9;;-;Klein Hitland 266 Nieuwerkerk aan den IJssel;26,0000;2911BR;Klein Hitland;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95468733;5,59;primair;0,60;2,0;2,0;;;;agrarisch gras;agrarisch gras;62;agrarisch gras;agrarisch gras;50;4,63202982;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_07;Sloten waterrijk EGB 2021 elektro-traject 07;103428;440646;SCHIEL;Schieland;9;;-;Groenendijk 129 Nieuwerkerk aan den IJssel;26,0000;2911BB;Groenendijk;;|h DIJK;Overig;Dijk;;;Zuidplas;;;grasland - agrarisch;51,95186084;5,42;primair;0,50;2,0;2,0;;;;agrarisch gras;agrarisch gras;49;agrarisch gras;agrarisch gras;50;4,63700876;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_08;Sloten waterrijk EGB 2021 elektro-traject 08;103217;440532;SCHIEL;Schieland;9;;-;Groenendijk 129 Nieuwerkerk aan den IJssel;26,0000;2911BB;Groenendijk;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,95081664;3,79;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;100;agrarisch gras;agrarisch gras;91;4,63395688;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_09;Sloten waterrijk EGB 2021 elektro-traject 09;102861;440165;SCHIEL;Schieland;9;;-;Groenendijk 231 Nieuwerkerk aan den IJssel;26,0000;2911BB;Groenendijk;;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,94748492;27,87;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;80;agrarisch gras;agrarisch gras;59;4,62883457;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_21_EL_10;Sloten waterrijk EGB 2021 elektro-traject 10;102215;439846;SCHIEL;Schieland;9;;-;Blaardorpseweg 1 Nieuwerkerk aan den IJssel;26,0000;2911BC;Blaardorpseweg;;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;;grasland - agrarisch;51,94455692;5,98;primair;0,80;1,5;1,5;;;;agrarisch gras;agrarisch gras;64;gras in secundair bebouwd gebied;stedelijk;30;4,61948824;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
